size,total_sqft,bath,balcony,price
2,1056,2,1,39
3,1440,2,3,62
3,1521,3,1,95
2,1200,2,1,51
2,1170,2,1,38
3,1310,3,1,63
3,1800,2,2,70
2,1000,2,1,38
2,1100,2,2,40
2,1175,2,2,73
3,1180,3,2,48
3,1540,3,3,60
3,2770,4,2,290
2,1100,2,2,48
1,600,1,1,15
3,1755,3,1,122
3,1767,3,1,103
3,1250,3,2,56
2,660,1,1,23
3,1610,3,2,81
2,1151,2,2,48
3,1025,2,1,47
3,1075,2,1,35
3,1760,2,2,123
3,1693,3,3,57
2,700,2,1,36
2,1070,2,1,45
3,1724,3,2,125
3,1290,2,2,56
2,1143,2,2,45
3,1254,3,2,38
1,600,1,0,38
2,1330,2,2,91
2,970,2,0,33
2,1459,2,1,94
2,869,2,1,36
2,1270,2,1,50
3,1670,3,1,99
3,2010,3,2,91
2,1185,2,2,75
3,1600,2,3,75
2,1200,2,2,44
2,1500,2,2,185
2,840,2,2,45
2,845,2,1,55
2,1160,2,2,44
2,1100,2,1,62
2,1140,2,3,43
2,1220,2,1,57
2,1005,2,1,36
2,1358,2,1,80
3,1569,3,1,101
2,1240,2,1,70
3,2089,3,2,140
2,1206,2,1,48
2,1150,2,3,40
3,2511,3,3,205
2,460,1,0,22
3,1660,2,2,105
2,1326,2,2,78
3,1325,2,2,60
3,1499,5,2,102
3,1665,3,2,88
2,708,2,2,37
2,1060,2,2,58
2,1000,2,2,70
2,1000,2,1,28
3,1450,2,2,70
2,1296,2,3,80
3,1540,3,2,90
3,1330,2,1,48
2,1200,2,1,65
3,2502,3,3,138
2,650,1,1,17
2,1007,2,2,43
2,1200,2,2,50
2,966,2,2,49
3,1630,2,1,98
3,1640,3,2,229
2,782,2,2,55
2,1260,2,2,66
3,1800,3,3,120
3,1413,2,2,75
2,1116,2,1,51
3,1530,2,1,45
3,1540,2,3,64
3,1436,3,1,74
2,1100,2,2,75
3,1427,3,2,120
3,2061,3,1,200
4,2650,4,2,150
3,1282,2,2,68
2,1050,2,1,34
3,1600,3,2,65
2,945,2,1,54
2,1500,2,1,78
3,1870,3,3,110
2,880,1,1,16
3,1535,3,2,83
2,950,2,1,57
2,1360,2,1,65
3,1280,3,1,50
3,1260,2,2,85
5,3050,5,1,213
3,1563,3,1,105
2,1000,2,1,60
2,1167,2,1,43
2,890,2,1,35
3,1612,3,3,46
3,1710,4,2,91
2,957,2,1,58
3,1250,2,3,44
2,1125,2,2,50
2,1020,2,1,30
2,1200,2,2,50
3,1735,3,3,135
3,2050,3,1,145
3,1350,2,3,48
2,1063,2,1,32
3,1904,3,1,150
3,2000,3,1,175
3,1425,2,2,75
3,1500,2,1,64
2,1060,2,1,60
